open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_by_qav,taker_by_bav,ignored
2018-12-13 06:00:00+00:00,3386.640000000,3406.340000000,3375.000000000,3402.600000000,2083.903501000,2018-12-13 07:59:59.999000+00:00,7054851.996971520,9474.000000000,1099.772051000,3723772.718582900,0.000000000
2018-12-13 08:00:00+00:00,3402.620000000,3424.000000000,3365.500000000,3406.000000000,3435.543324000,2018-12-13 09:59:59.999000+00:00,11689005.518350311,13383.000000000,1901.765297000,6472454.991441000,0.000000000
2018-12-13 10:00:00+00:00,3405.650000000,3413.070000000,3380.000000000,3385.000000000,2494.279786000,2018-12-13 11:59:59.999000+00:00,8474759.408702210,10610.000000000,1253.989561000,4262520.182272030,0.000000000
2018-12-13 12:00:00+00:00,3384.260000000,3435.000000000,3382.210000000,3414.990000000,3528.446562000,2018-12-13 13:59:59.999000+00:00,12056938.741678439,13077.000000000,1933.382058000,6605473.346325700,0.000000000
2018-12-13 14:00:00+00:00,3414.990000000,3424.250000000,3390.000000000,3416.020000000,2009.320122000,2018-12-13 15:59:59.999000+00:00,6854326.819672450,9368.000000000,992.126535000,3385377.264468670,0.000000000
2018-12-13 16:00:00+00:00,3414.080000000,3421.480000000,3384.450000000,3388.340000000,2500.195318000,2018-12-13 17:59:59.999000+00:00,8499245.152995000,10242.000000000,1200.043508000,4081389.930211400,0.000000000
2018-12-13 18:00:00+00:00,3387.870000000,3400.000000000,3326.590000000,3345.470000000,4152.319107000,2018-12-13 19:59:59.999000+00:00,13966251.980944419,17929.000000000,1769.982579000,5959162.913490920,0.000000000
2018-12-13 20:00:00+00:00,3345.460000000,3358.550000000,3255.500000000,3291.130000000,9312.690195000,2018-12-13 21:59:59.999000+00:00,30713945.173312262,32481.000000000,4467.847352000,14733934.702009819,0.000000000
2018-12-13 22:00:00+00:00,3291.140000000,3308.640000000,3270.000000000,3302.060000000,2552.655561000,2018-12-13 23:59:59.999000+00:00,8408467.807115979,12575.000000000,1339.705982000,4414703.408835450,0.000000000
2018-12-14 00:00:00+00:00,3302.060000000,3335.390000000,3250.000000000,3310.380000000,5345.259059000,2018-12-14 01:59:59.999000+00:00,17621113.967044991,18915.000000000,2638.244326000,8705294.654698780,0.000000000
